sentence,frequency
দফায় কমে ৪ ৯৫৮ টাকা,5
৪ জুলাই রোববার ব্যাংকের লেনদেন বন্ধ ছিল,5
২২ ক্যারেট রুপার ভরি আগের ১ ৫১৬ টাকায় বিক্রি হবে,5
২১ ১৮ ক্যারেট রুপার ভরি যথাক্রমে ১ ৪৩৫ ১ ২২৫ টাকা,5
সনাতন পদ্ধতির রুপার ভরি ৯৩৩ টাকায় বিক্রি হবে,5
পরের রোববার অর্থাৎ ১১ জুলাইও ব্যাংকের শাখা বন্ধ রাখার সিদ্ধান্ত নিয়েছিল বাংলাদেশ ব্যাংক,5
২০১১ সালে আউন্স সোনার দাম উঠেছিল ১ ৯২১ ডলারে,4
১০ টাকা জরিমানা নির্ধারিত ভ্যাটের টাকার ওপর ২ শতাংশ হারে সুদ আরোপ হয়,4
২০১৩ সালের ২৭ জানুয়ারি সূচক হয়েছিল,4
তহবিলের আকার বেড়ে ৯ ১৮৮ টাকা দাঁড়ায়,3
পাঁচ মাসের কম সময়ের উড়োজাহাজ বিধ্বস্ত হয়ে ৩৪৬ আরোহী নিহত হওয়ার বিশ্বের অধিকাংশ এয়ারলাইনস বেসামরিক বিমান চলাচল কর্তৃপক্ষ উড়োজাহাজ সিদ্ধান্ত নেয়,3
শেষ ভরির দাম বেড়েছে ১২ ৩০৬ টাকা,3
মিনিটের আদ্দিস আবাবা ৬২ কিলোমিটার দূরে এক শহরের মুখ থুবড়ে পড়ে,3
১৯৭৫ সালে প্রথমবারের দেশের করদাতাদের ধরনের সুযোগ আসে,3
বর্তমানে বেশির ভাগ ব্যাংকের কার্ড দিয়ে দিনে ৫০ টাকা ব্যাংক অর্থ উত্তোলন যায়,3
করোনার সংক্রমণ বেড়ে যাওয়ায় গত ২৮ জুন সীমিত ১ জুলাই কঠোর বিধিনিষেধ হয়,3
বছরের ২৭ জুলাই ৯ বছরের রেকর্ড ভাঙে স্বর্ণের দাম,3
সেদিন বিশ্ববাজারে আউন্স (১ আউন্স সমান ২৮ দশমিক ৩৫ গ্রাম) সোনার দাম বেড়ে ১ ৯৪৪ ডলার,3
২ শতাংশ জরিমানার বিষয়টি বাধ্যতামূলক নয়,3
"গত ২৩ জুন সোনার দাম ভরিতে ৫ ৮২৫ টাকা, গত ২৪ জুলাই ২ ৯১৬ টাকা, ৬ আগস্ট ৪ ৪৩৩ টাকা বৃদ্ধি জুয়েলার্স সমিতি",3
বিধিনিষেধ অনুযায়ী ৫ ১১ এপ্রিল ব্যাংক আর্থিক প্রতিষ্ঠানগুলো সকাল ১০টা দুপুর সাড়ে ১২টা খোলা ছিল,3
আউন্স সোনার দাম ২ ৭২ ডলার ৫০ সেন্ট উঠে যায়,3
"আরেক দল বিশ্লেষক বলছেন, ২০২১ সালে দাম ঊর্ধ্বমুখী হবে",3
"গত বছরের জুলাই, সেপ্টেম্বর, অক্টোবর, নভেম্বর ডিসেম্বর—এই পাঁচ মাসের প্রতিটিতেই ২০০ ডলারের প্রবাসী আয় আসে",3
বাকি ৯৪ পুরস্কারের পরিমাণ ১০ টাকা,3
"মঙ্গলবারের নির্দেশনায় বিএসইসি বলেছিল, শেয়ারবাজারে যেসব কোম্পানির শেয়ারের দাম এক মাসে ৫০ শতাংশের বেড়েছে কমেছে, পেছনে কারসাজি রয়েছে না, তদন্ত হবে",3
চলবে ৫ আগস্ট রাত ১২টা পর্যন্ত,3
স্বাভাবিক সময়ে ব্যাংকের লেনদেন সকাল ১০টা বিকেল ৪টা পর্যন্ত,3
নিষ্পত্তির অপেক্ষায় ২ ৬০২টি অভিযোগ,3
বোতলজাত সয়াবিনের লিটার বিক্রি ১৩৫ টাকায়,3
জানুয়ারির শুরুতে দাম ৪০ ডলার ছাড়িয়ে যায়,3
মার্জিন ঋণের সুদহার কোনোভাবেই ১২ শতাংশের পারবে না,3
ছাড়া পাম সুপার বিক্রি ১০৪ টাকা লিটার দরে,3
দেশি পেঁয়াজের কেজি ১০০ টাকা ছাড়ায়,3
১৯৭১ সালে স্বল্পোন্নত দেশের তালিকা হয়,3
ঢাকা বিশ্ববিদ্যালয় ভূগোলে স্নাতকোত্তর আইবিএ এমবিএ ডিগ্রি অর্জন ১৯৬৩ সালে ব্যাংকিং পেশায় যুক্ত হন,3
১৬ ফেব্রুয়ারি ৫০ ডলারের মাইলফলক স্পর্শ বিটকয়েন,3
কর্মসংস্থানের ৩৬ শতাংশ হয়েছে সিএমএসএমই খাতে,3
কমে ৩০ হাজারে নামে,3
১৯৫৮ সালে কর তিনি,3
"ক্রিপ্টোকারেন্সি নিউজ সাইট কয়েনডেস্কের তথ্য অনুযায়ী, বিটকয়েন বছর ২৮ ৯০০ ডলারে করেছিল",3
সময় ৩২ ৫৫৮ ব্যক্তি প্রতিষ্ঠান সুযোগ নিয়েছিল,3
গত বছরের ৬ আগস্ট দেশের বাজারে ভরি সোনার দাম বেড়ে ৭৭ ২১৬ টাকায় দাঁড়ায়,3
সরকারি সাড়ে ১২ কেজি এলপিজির দাম আগের ৫৯১ টাকাই থাকছে,3
বাকি ৫ শতাংশ সরকার ভর্তুকি হিসেবে দিচ্ছে,3
"ঋণের সুদহার ৯ শতাংশ, গ্রাহকদের ৪ শতাংশ",3
খোন্দকার ইব্রাহিম খালেদ ১৯৪১ সালে গোপালগঞ্জে জন্মগ্রহণ করেন,3
মোবাইলে আর্থিক সেবাদাতা (এমএফএস) বিকাশের ১০ টাকার এলেও সরকারি ২ শতাংশের অতিরিক্ত ১ শতাংশ প্রণোদনা মিলছে,3
লেনদেন ৪৫১ ৩৩ লাখ টাকার,2
১৯ জুলাই মন্ত্রণালয় প্রয়োজনীয় ব্যবস্থা স্বাস্থ্য অধিদপ্তরের মহাপরিচালককে নির্দেশনা হয়,2
এদিকে করোনাভাইরাসের এসএমই খাতের বাংলাদেশ ব্যাংক তিনটি প্রকল্পের ঋণের সুদহার কমিয়ে ৭ শতাংশ নির্ধারণ করেছে,2
গত কার্যদিবস লেনদেন শেষে ডিএসইএক্স সূচক ৭ পয়েন্ট কমে অবস্থান ৫২৭০ পয়েন্টে,2
পাঁচ লিটারে ১০০ টাকা দাঁড়ায়,2
মৃত্যুকালে বয়স হয়েছিল ৮৩ বছর,2
এরপর ১৪ এপ্রিল এক সপ্তাহ ব্যাংক বন্ধের কারণে শেয়ারবাজারেও লেনদেন বন্ধ থাকবে,2
১ জুলাই কঠোর বিধিনিষেধ হয়,2
"দাতা সংস্থার আর্থিক সহায়তা তহবিলের আওতায় খাতের পুরোনো ঋণ রয়েছে, যেগুলোর সুদহার এখনো ৬ শতাংশের বেশি",2
"কোম্পানিগুলো ভ্যাট ছাড়ের দাবি বলছে, এক লিটার তেলে ভ্যাট ২০ টাকার মতো",2
বিটিএমএর সদস্য কারখানার সংখ্যা ১ ৫২১,2
"ছাড়া বর্গফুট খাসির চামড়া ১৫ ১৭ টাকা, বকরির চামড়া ১২ ১৪ টাকা নির্ধারণ হয়েছে",2
২০০৯ সালে মুঠোফোন অপারেটরদের কোম্পানি হিসেবে গ্রামীণফোন শেয়ারবাজারে তালিকাভুক্ত হয়েছিল,2
করোনার সংক্রমণ প্রতিরোধে ৫ এপ্রিল সারা দেশে চলাচলে সরকারি বিধিনিষেধ আরোপ আছে,2
